type;datetime;itemcallnumber;title;subjects
issue;"2012-08-23 10:17:39";HF5383.F89;"Your first resume :";"Job hunting. High school students Employment. College students Employment. Resumes (Employment)"
issue;"2012-08-23 10:20:13";HF5383.F89;"Your first resume :";"Job hunting. High school students Employment. College students Employment. Resumes (Employment)"
issue;"2012-08-23 10:22:12";"HD6061.2.B45 2010";"Career GPS: Strategies for Women Navigating the New Corporate Landscape.";
renew;"2012-08-27 14:35:56";"HF5381 .P747";"Why to Major in English If You're Not Going to Teach.";
issue;"2012-08-30 13:09:48";"HF5549.9.HD69 2010";"Case in point :";"Business consultants Vocational guidance. Consultants Vocational guidance. Employment interviewing. Business consultants Case studies. Consultants Case studies."
issue;"2012-08-30 13:11:55";"HF5549.5.I6.K3 2010";"301 best questions to ask on your interview /";"Employment interviewing."
issue;"2012-08-30 13:45:11";"R130.5.110 2004";"The ultimate guide to choosing a medical specialty /";"Medicine Specialties and specialists. Medicine Vocational guidance. Medicine United States. Career Choice United States. Professional Practice United States. Internship and Residency organization &amp; administration United States."
issue;"2012-08-30 14:20:14";"HD5708.85.U6W67 2004";"Workforce intermediaries for the twenty-first century /";"Hard-core unemployed Services for United States. Hard-core unemployed Services for United States Case studies. Welfare recipients Employment Government policy United States. Occupational training Government policy United States. Employment agencies United States."
issue;"2012-09-04 10:00:49";"BF637.C6 I93 1997";"Counseling and psychotherapy :";"Cross-cultural counseling. Psychotheraphy Cross-cultural studies."
issue;"2012-09-05 16:59:35";"HF5383.UH820 2007";"Military-to-civilian resumes and letters /";"Veterans Employment United States. Cover letters. Applications for positions Handbooks, manuals, etc. Career changes United States Handbooks, manuals, etc. Resumes (Employment) Retired military personnel Employment United States."
issue;"2012-09-05 17:00:03";"HD60.HN49 2009";"The Idealist.org Handbook to Building a Better World: How to Turn Your Good Intentions into Actions that Make a Difference.";
issue;"2012-09-06 09:11:40";"HF5549.5.I6 P67 1999";"101 toughest interview questions--and answers that win jobs! /";"Employment interviewing. Job hunting."
issue;"2012-09-07 08:37:12";"HF5381.D13 2004";"Top careers for history graduates.";"History Vocational guidance United States Juvenile literature. History Vocational guidance. Vocational guidance."
renew;"2012-09-07 08:37:54";"HF5381.D13 2004";"Top careers for history graduates.";"History Vocational guidance United States Juvenile literature. History Vocational guidance. Vocational guidance."
issue;"2012-09-10 11:07:22";HF5383.H46;"Resume buzz words :";"Resum�es (Employment) Terminology. Job hunting Terminology."
issue;"2012-09-10 11:08:35";"HF5549.5.I6 .M674 2002";"Ace the IT job interview! /";"Employment interviewing. Information technology Vocational guidance."
issue;"2012-09-10 17:02:34";"HF5382.75.U6.B43 2009";"Power ties :";"Job hunting United States Handbooks, manuals, etc. Students, Foreign Employment United States Handbooks, manuals, etc. Business networks United States Handbooks, manuals, etc."
issue;"2012-09-11 11:43:07";"HM741.1.HF5381 2010";"The networking survival guide :";"Career development. Business networks. Social networks."
issue;"2012-09-11 13:06:52";"JK716.C59 2010";"The complete idiot's guide to getting government jobs /";"Civil service positions United States Handbooks, manuals, etc."
issue;"2012-09-12 13:07:55";"HF5382.7.U6 B64";"What color is your parachute?, 2012 /";"Job hunting. Job hunting Computer network resources. Vocational guidance. Career changes. Applications for positions. Vocational guidance. Job hunting."
issue;"2012-09-12 17:00:26";HV8143.S86;"Opportunities in law enforcement and criminal justice careers /";"Police Vocational guidance United States. Law enforcement Vocational guidance United States. Criminal justice, Administration of Vocational guidance United States. Police. Law enforcement Vocational guidance. Administration of criminal justice Vocational guidance."
renew;"2012-09-13 12:12:53";"HF5549.9.HD69 2010";"Case in point :";"Business consultants Vocational guidance. Consultants Vocational guidance. Employment interviewing. Business consultants Case studies. Consultants Case studies."
renew;"2012-09-13 12:13:02";"HF5549.9.HD69 2010";"Case in point :";"Business consultants Vocational guidance. Consultants Vocational guidance. Employment interviewing. Business consultants Case studies. Consultants Case studies."
issue;"2012-09-18 15:39:59";"JZ1405.6.I55 2003";"Inside a U.S. embassy :";"Diplomatic and consular service, American. Travel &amp; International Employment."
issue;"2012-09-19 15:50:42";HQ2039.U6.L535;"Life after school, explained.";"Life skills United States Handbooks, manuals, etc. Social skills United States Handbooks, manuals, etc."
issue;"2012-09-20 16:14:40";"HM741.4.HF5386 2005";"Never eat alone and other secrets to success :";"Success in business. Business networks. Generosity. Interpersonal relations. Public relations."
issue;"2012-09-21 14:30:47";"HF5381 .K687 2005";"I want to do something else but I'm not sure what it is /";"Job hunting. Vocational guidance. Vocational interests."
issue;"2012-09-21 14:30:56";"HF5381.P324 2009";"5 necessary skills to keep your career on track /";"Vocational guidance. Vocational qualifications. Job hunting."
issue;"2012-09-21 14:50:42";"HF5382.75.U6.B43 2009";"Power ties :";"Job hunting United States Handbooks, manuals, etc. Students, Foreign Employment United States Handbooks, manuals, etc. Business networks United States Handbooks, manuals, etc."
issue;"2012-09-24 16:32:48";HF5549.5.I6.H346;"Tell me about yourself :";"Employment interviewing. Storytelling."
issue;"2012-09-26 12:09:16";"JZ1405.6.I55 2003";"Inside a U.S. embassy :";"Diplomatic and consular service, American. Travel &amp; International Employment."
issue;"2012-09-26 13:23:07";"HF5549.5.I6.E55 2010";"Job interview skills 101 :";"Job hunting United States. Interviews Handbooks, manuals, etc. Self-presentation."
issue;"2012-09-26 13:23:12";"HF5549.5.I6.F75 2009";"101 great answers to the toughest interview questions /";"Employment interviewing."
issue;"2012-09-27 12:08:25";"HF5382.GV201 2004";"Great jobs for physical education majors /";"Physical education and training Vocational guidance United States."
issue;"2012-09-27 12:08:30";"HF5381.LB5.1 2003";"Inside secrets of finding a teaching job :";"Teachers Employment United States. Teaching Vocational guidance United States. Employment interviewing United States. Job hunting United States."
issue;"2012-09-27 17:00:57";"HF5549.5.I6.K3 2010";"301 best questions to ask on your interview /";"Employment interviewing."
issue;"2012-09-28 09:00:00";"HF5549.9.HD69 2010";"Case in point :";"Business consultants Vocational guidance. Consultants Vocational guidance. Employment interviewing. Business consultants Case studies. Consultants Case studies."
issue;"2012-09-28 15:23:15";"HM741.2.HF5381 2009";"Highly effective networking :";"Job hunting. Business networks. Social networks."
issue;"2012-10-01 16:02:08";"HD2770.16.LC1072 2009";"The Successful Internship: Personal, Professional, and Civic Development.";
renew;"2012-10-01 16:19:34";"HF5381 .K687 2005";"I want to do something else but I'm not sure what it is /";"Job hunting. Vocational guidance. Vocational interests."
renew;"2012-10-01 16:19:56";"HF5381.P324 2009";"5 necessary skills to keep your career on track /";"Vocational guidance. Vocational qualifications. Job hunting."
issue;"2012-10-02 15:21:17";"HM1261.R38 2008";"Strengths-based leadership :";"Executive ability Psychological aspects. Executive ability. Work Psychological aspects. Ability. Performance. Success in business."
issue;"2012-10-03 16:22:34";"R154.J39.A3 2008";"Intern :";"Medical students United States Biography. Interns (Medicine) United States Biography. Residents (Medicine) United States Biography."
issue;"2012-10-03 16:26:10";"HM741.3.HF5381 2010";"Networking for people who hate networking :";"Business networks."
issue;"2012-10-05 13:51:34";"LB2376.HC60.5 2007";"The study abroad handbook /";"Foreign study Handbooks, manuals, etc. Universities and colleges Handbooks, manuals, etc."
renew;"2012-10-08 14:33:56";HF5549.5.I6.H346;"Tell me about yourself :";"Employment interviewing. Storytelling."
issue;"2012-10-09 09:54:00";"HF5549.5.HG173 2002";"Vault guide to finance interviews /";"Finance Vocational guidance. Employment interviewing."
issue;"2012-10-09 09:54:05";"HF5549.5.I6.O38 2005";"301 smart answers to tough interview questions /";"Employment interviewing."
issue;"2012-10-11 10:46:02";"HF5383.S247 2011";"Step-by-step cover letters :";"Cover letters."
issue;"2012-10-11 12:26:26";"HC110.HD60.1 2009";"Ten Ways to Change the World in Your Twenties.";
issue;"2012-10-11 12:27:06";"HD2769.15 .C79 2008";"The nonprofit career guide :";"Nonprofit organizations Vocational guidance. Nonprofit organizations Employees. Organizations, Nonprofit. Vocational Guidance. Career Choice."
issue;"2012-10-11 12:30:19";"JZ1238.U6.C37 2008";"Careers in international affairs /";"International relations Vocational guidance United States. International economic relations Vocational guidance United States. International relations Vocational guidance United States. International economic relations Vocational guidance United States."
issue;"2012-10-11 12:30:29";"JZ1480.A5.K67 2008";"Career diplomacy :";"Diplomatic and consular service, American. Diplomatischer Dienst."
issue;"2012-10-11 13:03:15";"LB2377.HC60.5 2009";"The insider's guide to the Peace Corps :";
issue;"2012-10-11 15:17:13";"HF5549.9.HD69 2010";"Case in point :";"Business consultants Vocational guidance. Consultants Vocational guidance. Employment interviewing. Business consultants Case studies. Consultants Case studies."
issue;"2012-10-12 13:35:45";"LB2351.52.U6 S746 2009";"Peterson's how to write the perfect personal statement /";"College applications United States. Universities and colleges United States Graduate work Admission. Exposition (Rhetoric) Essay Authorship."
issue;"2012-10-12 13:35:52";"LB2351.52.U6 A74";"Graduate admissions essays :";"College applications United States. Universities and colleges United States Graduate work Admission. Exposition (Rhetoric) Essay Authorship. Promotionsstipendium."
issue;"2012-10-15 15:14:16";"HF5382.75.U6.B755 2010";"You majored in what? :";"College graduates Employment United States. College majors United States. Employment interviewing United States. Job hunting United States."
issue;"2012-10-15 15:31:34";"GV428.5.L96 2003";"Start Your Own Personal Training Business (Entrepreneur Magazine's Start Up).";
issue;"2012-10-17 10:11:45";"HF5549.5.I6.F75 2009";"101 great answers to the toughest interview questions /";"Employment interviewing."
issue;"2012-10-17 10:11:52";"HM741.3.HF5381 2010";"Networking for people who hate networking :";"Business networks."
issue;"2012-10-17 15:11:35";"HG179 2005";"Your financial future :";"College graduates Finance, Personal."
renew;"2012-10-17 15:12:20";"R154.J39.A3 2008";"Intern :";"Medical students United States Biography. Interns (Medicine) United States Biography. Residents (Medicine) United States Biography."
renew;"2012-10-17 15:12:24";"R154.J39.A3 2008";"Intern :";"Medical students United States Biography. Interns (Medicine) United States Biography. Residents (Medicine) United States Biography."
issue;"2012-10-18 13:55:38";"HF5381.L48 2009";"They don't teach corporate in college :";"Business Vocational guidance. Success in business."
renew;"2012-10-18 13:56:16";"HF5382.7.U6 B64";"What color is your parachute?, 2012 /";"Job hunting. Job hunting Computer network resources. Vocational guidance. Career changes. Applications for positions. Vocational guidance. Job hunting."
issue;"2012-10-22 10:08:38";"HD6061.2.B45 2010";"Career GPS: Strategies for Women Navigating the New Corporate Landscape.";
issue;"2012-10-22 14:33:56";HF5549.5.I6.H346;"Tell me about yourself :";"Employment interviewing. Storytelling."
localuse;"2012-10-23 13:47:40";"HD2770.12 2002";"How to live your dream of volunteering overseas /";"Voluntarism Handbooks, manuals, etc. Voluntarism Directories."
localuse;"2012-10-23 13:56:03";"HD6061.2.B45 2010";"Career GPS: Strategies for Women Navigating the New Corporate Landscape.";
issue;"2012-10-23 15:47:57";"HD2769.5549 2011";"Summer Jobs Worldwide, 2011: Make the Most of the Summer Break.";
issue;"2012-10-24 14:32:09";"HF5381.L6627 2008";"Now what? :";"Vocational guidance. Vocational interests. Professions. Occupations. Job satisfaction."
issue;"2012-10-25 08:50:51";"HF5382.7.H384 2005";"Have no career fear :";"Job hunting. Vocational guidance. Career development. College graduates Vocational guidance."
renew;"2012-10-25 11:42:24";"LB2351.52.U6 S746 2009";"Peterson's how to write the perfect personal statement /";"College applications United States. Universities and colleges United States Graduate work Admission. Exposition (Rhetoric) Essay Authorship."
renew;"2012-10-25 11:42:36";"LB2351.52.U6 A74";"Graduate admissions essays :";"College applications United States. Universities and colleges United States Graduate work Admission. Exposition (Rhetoric) Essay Authorship. Promotionsstipendium."
issue;"2012-10-29 14:03:20";"R745.F47 2010";"The medical school interview :";"Medical students Interviews. Medical colleges Admission."
renew;"2012-10-31 10:29:43";"HF5549.5.I6.F75 2009";"101 great answers to the toughest interview questions /";"Employment interviewing."
renew;"2012-10-31 10:29:43";"HM741.3.HF5381 2010";"Networking for people who hate networking :";"Business networks."
issue;"2012-10-31 16:58:54";"HD2769.2.HD62.6 2009";"Starting & Building a Nonprofit: A Practical Guide.";
issue;"2012-11-01 13:32:20";"HF5381.5 P755 2007";"Strong Interest Inventory college profile user's guide :";"Strong Vocational Interest Blank. Interest inventories. Personality and occupation Testing. College students Psychological testing."
issue;"2012-11-01 13:32:35";"HF5381.5 S839 2005";"Strong Interest Inventory manual :";"Strong Vocational Interest Blank Handbooks, manuals, etc. Vocational interests Testing Handbooks, manuals, etc. Personality and occupation Testing Handbooks, manuals, etc."
issue;"2012-11-01 13:32:47";"BF698.8.M94 M84 1998";"MBTI manual :";"Typology (Psychology) Myers-Briggs Type Indicator."
issue;"2012-11-01 14:03:13";"HF5381.P324.LC1021 2002";"Keys to liberal arts success /";"Education, Humanistic. College student orientation. Study skills."
issue;"2012-11-05 16:30:39";HF5549.5.I6.H346;"Tell me about yourself :";"Employment interviewing. Storytelling."
localuse;"2012-11-07 09:41:12";"HF5383.7.1 2006";"Job search magic :";"Job hunting."
localuse;"2012-11-07 09:44:32";"HF5383.7.1 2006";"Job search magic :";"Job hunting."
issue;"2012-11-07 13:29:54";"HF5381.LB5 2002";"101 career alternatives for teachers :";"Career changes. Job hunting. Vocational guidance. Teaching Vocational guidance."
issue;"2012-11-07 14:28:34";"HF5381.1.BF76 2005";"What can you do with a major in psychology? :";"Psychology Vocational guidance."
issue;"2012-11-07 15:47:21";"HF5382.7.6767 V2";"Ready or not :";"Job hunting."
issue;"2012-11-07 16:35:43";"HF5381.B33 2006";"Backpack to briefcase :";"Career development. Success in business. Business etiquette."
renew;"2012-11-08 11:44:11";"LB2351.52.U6 S746 2009";"Peterson's how to write the perfect personal statement /";"College applications United States. Universities and colleges United States Graduate work Admission. Exposition (Rhetoric) Essay Authorship."
renew;"2012-11-08 11:44:11";"LB2351.52.U6 A74";"Graduate admissions essays :";"College applications United States. Universities and colleges United States Graduate work Admission. Exposition (Rhetoric) Essay Authorship. Promotionsstipendium."
localuse;"2012-11-09 10:10:57";"BF698.9.O3 T54 1";"Do what you are :";"Personality and occupation. Myers-Briggs Type Indicator. Vocational guidance."
localuse;"2012-11-09 10:11:26";"HF5381 .K687 2005";"I want to do something else but I'm not sure what it is /";"Job hunting. Vocational guidance. Vocational interests."
localuse;"2012-11-09 10:11:31";"HF5381.5.G788 2012";"Strong interest inventory user's guide :";"Strong Vocational Interest Blank Handbooks, manuals, etc. Vocational interests Testing Handbooks, manuals, etc."
localuse;"2012-11-09 12:20:14";JK716.T732;"The student's federal career guide :";"Civil service positions United States Handbooks, manuals, etc."
issue;"2012-11-09 16:37:43";"LB2343. C3273 2000";"Career counseling of college students :";"Counseling in higher education United States. Vocational guidance United States. College students United States."
localuse;"2012-11-14 10:29:06";"BF698.8.M94 M83 1998";"Introduction to type :";"Myers-Briggs Type Indicator."
issue;"2012-11-14 16:08:52";"JK716.K686 2010";"Jobs that matter :";"Nonprofit organizations United States Employees. Vocational guidance United States. Civil service positions United States."
issue;"2012-11-15 14:12:26";"HF5381.5 S839 2005";"Strong Interest Inventory manual :";"Strong Vocational Interest Blank Handbooks, manuals, etc. Vocational interests Testing Handbooks, manuals, etc. Personality and occupation Testing Handbooks, manuals, etc."
issue;"2012-11-15 14:12:33";"HF5381.5 P755 2007";"Strong Interest Inventory college profile user's guide :";"Strong Vocational Interest Blank. Interest inventories. Personality and occupation Testing. College students Psychological testing."
issue;"2012-11-15 14:12:42";"BF698.8.M94 M84 1998";"MBTI manual :";"Typology (Psychology) Myers-Briggs Type Indicator."
issue;"2012-11-15 15:50:22";"HF5382.5.U5.F364 2007";"175 best jobs not behind a desk /";"Vocational guidance United States. Job descriptions United States. Exercise United States."
issue;"2012-11-15 15:50:27";"HF5382.HD5724 2009";"100 fastest-growing careers :";"Employment forecasting United States. Occupations United States Forecasting Statistics. Vocational guidance United States. Job hunting United States."
issue;"2012-11-16 10:10:42";"HF5382.7.M94 2009";"Get the job you want, even when no one's hiring :";"Job hunting."
issue;"2012-11-16 10:11:04";HM741.T85;"Networking for job search and career success /";"Social networks. Career development. Success in business."
localuse;"2012-11-16 10:13:00";"HD2769.2.HD62.6 2009";"Starting & Building a Nonprofit: A Practical Guide.";
issue;"2012-11-16 15:54:04";"R747.H28 S68 2006";"The soul of a doctor :";"Medicine Study and teaching Massachusetts Boston. Medical students Massachusetts Boston Biography. Education, Medical, Undergraduate Boston Personal Narratives. Students, Medical Boston Personal Narratives."
issue;"2012-11-16 17:03:48";HF5549.5.I6.H346;"Tell me about yourself :";"Employment interviewing. Storytelling."
issue;"2012-11-16 17:22:22";"LB2351.52.U6 S746 2009";"Peterson's how to write the perfect personal statement /";"College applications United States. Universities and colleges United States Graduate work Admission. Exposition (Rhetoric) Essay Authorship."
issue;"2012-11-16 17:22:26";"LB2351.52.U6 A74";"Graduate admissions essays :";"College applications United States. Universities and colleges United States Graduate work Admission. Exposition (Rhetoric) Essay Authorship. Promotionsstipendium."
issue;"2012-11-20 12:19:47";"RZ201 .AG200 2011";"Podiatric Medical: College Information Book.";
renew;"2012-11-26 10:35:24";"R747.H28 S68 2006";"The soul of a doctor :";"Medicine Study and teaching Massachusetts Boston. Medical students Massachusetts Boston Biography. Education, Medical, Undergraduate Boston Personal Narratives. Students, Medical Boston Personal Narratives."
issue;"2012-11-27 09:39:21";"HF5381 C265215 2004";"Career counseling and services :";"Vocational guidance Study and teaching. Career development Study and teaching. Cognitive learning theory."
renew;"2012-11-27 16:17:07";"HF5382.HD5724 2009";"100 fastest-growing careers :";"Employment forecasting United States. Occupations United States Forecasting Statistics. Vocational guidance United States. Job hunting United States."
renew;"2012-11-28 07:49:34";"HF5382.7.M94 2009";"Get the job you want, even when no one's hiring :";"Job hunting."
renew;"2012-11-28 07:49:34";HM741.T85;"Networking for job search and career success /";"Social networks. Career development. Success in business."
issue;"2012-11-29 12:17:17";"HF 1775.2.H68 2008";"Road to teaching :";"Teaching Vocational guidance United States Handbooks, manuals, etc. Teachers Training of United States. Teaching United States. Teachers Employment United States Handbooks, manuals, etc."
issue;"2012-11-30 14:39:54";"HF5381.LB5.1 2003";"Inside secrets of finding a teaching job :";"Teachers Employment United States. Teaching Vocational guidance United States. Employment interviewing United States. Job hunting United States."
issue;"2012-11-30 14:59:22";"R838.4.184 2004";"Get into Medical School: A Guide for the Perplexed, Second Edition.";
localuse;"2012-11-30 15:16:37";"HF5381.E52 | VOL. V";"Encyclopedia of careers and vocational guidance.";"Vocational guidance Handbooks, manuals, etc. Juvenile literature. Occupations Handbooks, manuals, etc. Juvenile literature. Vocational guidance Encyclopedias Juvenile literature. Occupations Encyclopedias Juvenile literature."
issue;"2012-12-03 15:20:16";"HV8144.F43.A25 2010";"FBI careers :";
renew;"2012-12-04 01:15:37";"HF5381.LB5 2002";"101 career alternatives for teachers :";"Career changes. Job hunting. Vocational guidance. Teaching Vocational guidance."
issue;"2012-12-04 10:55:35";"LB2371.4 P48 1997";"Getting what you came for :";"Universities and colleges United States Graduate work Handbooks, manuals, etc. Dissertations, Academic United States Handbooks, manuals, etc. Graduate-School information."
issue;"2012-12-06 14:29:41";"LB2351.52.U6 S746 2009";"Peterson's how to write the perfect personal statement /";"College applications United States. Universities and colleges United States Graduate work Admission. Exposition (Rhetoric) Essay Authorship."
issue;"2012-12-12 16:02:56";"HD5549.S381 2004";"Managing yourself for the career you want :";"Management Vocational guidance. Career development."
renew;"2012-12-17 08:10:20";"R838.4.184 2004";"Get into Medical School: A Guide for the Perplexed, Second Edition.";
issue;"2013-01-02 12:22:10";HF5549.5.I6.H346;"Tell me about yourself :";"Employment interviewing. Storytelling."
issue;"2013-01-02 12:22:16";"HF5549.5.I6.O38 2005";"301 smart answers to tough interview questions /";"Employment interviewing."
issue;"2013-01-08 15:40:36";"HD2770.15.LC1072 2006";"The intern files :";"Internship programs. Interns."
issue;"2013-01-08 15:41:04";"HD4905.M344 2004";"Making good :";"Work Moral and ethical aspects. Professional employees."
issue;"2013-01-08 15:41:22";"HD2770.16.LC1072 2009";"The Successful Internship: Personal, Professional, and Civic Development.";
issue;"2013-01-09 13:29:47";"HD6061.2.B45 2010";"Career GPS: Strategies for Women Navigating the New Corporate Landscape.";
issue;"2013-01-14 16:57:15";"HD6061.2.B45 2010";"Career GPS: Strategies for Women Navigating the New Corporate Landscape.";
issue;"2013-01-14 16:58:25";"HF5381.L48 2009";"They don't teach corporate in college :";"Business Vocational guidance. Success in business."
issue;"2013-01-14 16:58:31";"LB2376.HC60.5 2007";"The study abroad handbook /";"Foreign study Handbooks, manuals, etc. Universities and colleges Handbooks, manuals, etc."
localuse;"2013-01-15 10:42:29";"HF5549.5.I6.O38 2005";"301 smart answers to tough interview questions /";"Employment interviewing."
localuse;"2013-01-15 10:42:39";HF5549.5.I6.H346;"Tell me about yourself :";"Employment interviewing. Storytelling."
localuse;"2013-01-15 10:42:49";"LB2351.52.U6 S746 2009";"Peterson's how to write the perfect personal statement /";"College applications United States. Universities and colleges United States Graduate work Admission. Exposition (Rhetoric) Essay Authorship."
localuse;"2013-01-15 10:43:18";"HF5381.D88 2010";"What's your type of career? :";"Vocational guidance. Personality and occupation."
localuse;"2013-01-15 10:43:26";"BF698.9.O3 T54 2";"Do what you are :";"Personality and occupation. Myers-Briggs Type Indicator. Vocational guidance."
localuse;"2013-01-15 10:43:38";"HF5381.GE195.11 2008";"Greenjobs :";"Environmental sciences Vocational guidance United States. Green movement Vocational guidance United States. Environmentalism Social aspects United States. Job hunting United States."
localuse;"2013-01-15 10:43:52";"HF5381.E485 2007";"The career guide for creative and unconventional people /";"Vocational guidance. Creative ability."
issue;"2013-01-15 10:55:48";HF5549.5.I6.H346;"Tell me about yourself :";"Employment interviewing. Storytelling."
issue;"2013-01-15 10:55:53";"HF5549.TT618.2 2004";"Dressing smart for women :";"Beauty, Personal. Business etiquette. Career development. Women's clothing."
issue;"2013-01-15 12:03:03";"HM741.3.HF5381 2010";"Networking for people who hate networking :";"Business networks."
issue;"2013-01-15 12:03:11";"HM741.1.HF5381 2010";"The networking survival guide :";"Career development. Business networks. Social networks."
issue;"2013-01-15 14:11:04";"HF5549.9.HD69 2010";"Case in point :";"Business consultants Vocational guidance. Consultants Vocational guidance. Employment interviewing. Business consultants Case studies. Consultants Case studies."
issue;"2013-01-15 15:18:30";"JK716.C59 2010";"The complete idiot's guide to getting government jobs /";"Civil service positions United States Handbooks, manuals, etc."
issue;"2013-01-16 12:41:41";HM1261.LB2341.K66;"Leadership for a better world :";"Universities and colleges Administration. College administrators Professional relationships. Educational leadership. Social change. College. Management."
issue;"2013-01-16 16:24:21";"HF5381.TA157 2002";"Great jobs for engineering majors /";"Engineering Vocational guidance. Engineering Vocational guidance."
issue;"2013-01-17 12:05:38";"HD2770.12 2005";"The back door guide to short-term job adventures :";"Job hunting. Interns. Volunteers."
issue;"2013-01-17 12:08:47";"HF5381.NC1001.HF45 2006";"Becoming a graphic designer :";"Commercial art Vocational guidance. Graphic arts Vocational guidance."
issue;"2013-01-17 12:08:51";"HF5381.PN1995.3 2009";"Career opportunities in the film industry /";"Motion pictures Vocational guidance."
issue;"2013-01-18 15:12:47";"RA441.O83 2005";"Finding work in global health :";"World health Vocational guidance. Vocational guidance. Employment in foreign countries. World Health. Vocational Guidance. Employment. Internationality."
issue;"2013-01-18 15:13:20";"R690.Y35 2003";"The Yale guide to careers in medicine & the health professions :";"Medicine Vocational guidance. Medical personnel Vocational guidance. Physicians. Vocational Guidance. Career Choice."
issue;"2013-01-22 14:57:39";"HF5549.51 2000";"101 salary secrets :";"Wages. Negotiation in business."
localuse;"2013-01-23 11:32:27";"HF5381.P324.LC1037 2003";"10 things employers want you to learn in college :";"Career education United States. College student orientation United States. Career development United States."
localuse;"2013-01-23 11:32:36";"HF5382.7.K38 2006";"Confessions of a recruiting director :";"Job hunting."
localuse;"2013-01-23 11:32:49";"HF5382.7.H384 2005";"Have no career fear :";"Job hunting. Vocational guidance. Career development. College graduates Vocational guidance."
issue;"2013-01-23 14:59:54";"R154.T673 A3";"On call :";"Interns (Medicine) United States Biography. Physician and patient."
issue;"2013-01-23 15:00:00";"JK1083 .M35 2003";"Vault guide to Capitol Hill careers /";"Interns (Legislation) Vocational guidance United States. Lobbying Vocational guidance United States. Public relations Vocational guidance United States. Mass media Vocational guidance United States."
issue;"2013-01-23 16:39:19";"HF5549.5.I6 P67 1999";"101 toughest interview questions--and answers that win jobs! /";"Employment interviewing. Job hunting."
issue;"2013-01-23 16:39:33";"HF 5549.5.I6.B87 2009";"The first 60 seconds :";"Employment interviewing."
issue;"2013-01-25 15:36:22";"HF5381.JA 2003";"Great jobs for political science majors /";"Political science Vocational guidance United States. College graduates Employment United States. Occupations United States. Political science Vocational guidance. College graduates Employment. Occupations United States."
localuse;"2013-01-25 15:39:23";"HD4905.M344 2004";"Making good :";"Work Moral and ethical aspects. Professional employees."
localuse;"2013-01-25 15:39:29";"HD2770.15.LC1072 2006";"The intern files :";"Internship programs. Interns."
localuse;"2013-01-25 15:39:34";"R745 .A8 2012";"Medical school admission requirements, U.S.A. and Canada.";"Medical colleges United States Entrance requirements Periodicals. Medical colleges Canada Entrance requirements Periodicals. School Admission Criteria Canada Periodicals. School Admission Criteria United States Periodicals. Schools, Medical Canada Periodicals. Schools, Medical United States Periodicals."
localuse;"2013-01-25 15:39:38";"HD6061.2.B45 2010";"Career GPS: Strategies for Women Navigating the New Corporate Landscape.";
localuse;"2013-01-28 14:31:23";"HF5549.5.I6.S728 2003";"Fearless interviewing :";"Employment interviewing."
